sep=,
NPC_ID,Day,Hour,Minute,DA,5HT,NA,VIT,Hunger,Energy,Social,Safety,Emotion,Drive,DNA_O,DNA_C,DNA_E,DNA_A,DNA_N,DNA_UAI,DNA_COL
0,5,6,5,0.643,0.492,0.651,0.989,0.294,0.678,0.553,0.910,Annoyance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,6,11,0.646,0.494,0.679,0.989,0.306,0.674,0.571,0.892,Annoyance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,6,17,0.650,0.497,0.703,0.989,0.318,0.670,0.571,0.896,Anger,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,6,23,0.653,0.499,0.725,0.990,0.330,0.666,0.569,0.904,Anger,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,6,29,0.655,0.500,0.744,0.990,0.342,0.662,0.567,0.911,Surprise,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,6,35,0.657,0.502,0.761,0.990,0.354,0.658,0.565,0.919,Surprise,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,6,41,0.653,0.503,0.753,0.990,0.366,0.654,0.562,0.926,Surprise,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,6,47,0.650,0.503,0.745,0.991,0.378,0.650,0.560,0.934,Surprise,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,6,53,0.625,0.539,0.479,0.991,0.390,0.646,0.558,0.941,Serenity,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,6,59,0.590,0.596,0.250,0.991,0.402,0.642,0.560,0.943,Joy,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,5,0.565,0.636,0.178,0.991,0.414,0.638,0.568,0.939,Joy,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,11,0.555,0.647,0.178,0.992,0.426,0.634,0.568,0.944,Joy,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,17,0.439,0.550,0.290,0.992,0.438,0.630,0.574,0.942,Acceptance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,23,0.441,0.545,0.335,0.992,0.450,0.626,0.573,0.949,Acceptance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,29,0.445,0.542,0.363,0.992,0.461,0.622,0.590,0.932,Acceptance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,35,0.452,0.541,0.378,0.993,0.473,0.618,0.608,0.914,Acceptance,social,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,41,0.465,0.543,0.382,0.993,0.485,0.614,0.626,0.895,Acceptance,social,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,47,0.478,0.544,0.387,0.993,0.497,0.610,0.643,0.877,Acceptance,social,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,53,0.489,0.545,0.392,0.993,0.509,0.606,0.635,0.872,Acceptance,social,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,7,59,0.495,0.544,0.398,0.994,0.521,0.602,0.569,0.879,Acceptance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,8,5,0.496,0.540,0.408,0.994,0.533,0.598,0.504,0.887,Acceptance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,8,11,0.497,0.536,0.417,0.994,0.545,0.594,0.439,0.894,Acceptance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,8,17,0.498,0.532,0.425,0.994,0.557,0.590,0.374,0.902,Acceptance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,8,23,0.499,0.529,0.432,0.995,0.569,0.586,0.309,0.909,Acceptance,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,8,29,0.500,0.527,0.438,0.995,0.581,0.582,0.243,0.917,Serenity,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,8,35,0.500,0.524,0.444,0.995,0.593,0.578,0.178,0.924,Serenity,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
0,5,8,41,0.500,0.522,0.449,0.995,0.605,0.574,0.113,0.932,Serenity,idle,0.68,0.55,0.44,0.99,0.40,0.82,0.33
