sep=,
NPC_ID,Day,Hour,Minute,DA,5HT,NA,Hunger,Energy,Social,Safety,Emotion,Drive,DNA_O,DNA_C,DNA_E,DNA_A,DNA_N,DNA_UAI,DNA_COL
0,5,6,5,0.831,0.582,0.576,1.000,0.808,0.226,1.000,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,6,11,0.802,0.579,0.563,1.000,0.804,0.223,1.000,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,6,17,0.777,0.577,0.553,1.000,0.800,0.219,1.000,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,6,23,0.765,0.574,0.557,1.000,0.796,0.217,1.000,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,6,29,0.757,0.570,0.571,1.000,0.792,0.215,1.000,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,6,35,0.751,0.567,0.584,1.000,0.788,0.214,1.000,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,6,41,0.747,0.565,0.591,1.000,0.784,0.212,1.000,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,6,47,0.745,0.564,0.592,1.000,0.780,0.224,0.998,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,6,53,0.743,0.564,0.594,1.000,0.776,0.240,0.997,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,6,59,0.738,0.561,0.604,1.000,0.772,0.268,0.991,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,7,5,0.733,0.558,0.613,1.000,0.768,0.295,0.986,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,7,11,0.729,0.556,0.621,1.000,0.764,0.322,0.980,Surprise,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,7,17,0.660,0.540,0.578,1.000,0.760,0.350,0.974,Distraction,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,7,23,0.728,0.541,0.527,1.000,0.756,0.377,0.969,Distraction,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
0,5,7,29,0.947,0.569,0.489,1.000,0.752,0.404,0.963,Joy,hunger,0.39,0.86,0.68,0.64,0.16,0.43,0.48
