sep=,
NPC_ID,Day,Hour,Minute,DA,5HT,NA,Hunger,Energy,Social,Safety,Emotion,Drive,DNA_O,DNA_C,DNA_E,DNA_A,DNA_N,DNA_UAI,DNA_COL
0,5,6,5,0.290,0.542,0.554,1.000,0.964,0.510,1.000,Boredom,energy,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,6,11,0.291,0.542,0.554,1.000,0.975,0.510,1.000,Boredom,energy,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,6,17,0.291,0.542,0.554,1.000,0.986,0.510,1.000,Boredom,energy,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,6,23,0.291,0.543,0.554,1.000,0.997,0.510,1.000,Boredom,energy,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,6,29,0.292,0.542,0.554,1.000,0.995,0.508,1.000,Boredom,hunger,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,6,35,0.382,0.531,0.514,1.000,0.991,0.513,0.998,Boredom,hunger,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,6,41,0.484,0.518,0.470,1.000,0.987,0.520,0.995,Homeostasis,hunger,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,6,47,0.550,0.508,0.442,1.000,0.983,0.522,0.999,Serenity,hunger,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,6,53,0.570,0.492,0.432,1.000,0.979,0.529,0.996,Interest,hunger,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,6,59,0.573,0.466,0.427,1.000,0.975,0.536,0.994,Interest,hunger,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,7,5,0.576,0.449,0.423,1.000,0.971,0.536,0.999,Interest,hunger,0.32,0.39,0.18,0.50,0.06,0.83,0.48
0,5,7,11,0.576,0.440,0.421,1.000,0.967,0.536,1.000,Interest,hunger,0.32,0.39,0.18,0.50,0.06,0.83,0.48
