Step,Pop_Mean_DA,Pop_Mean_5HT,Pop_Mean_NA,NPC2_DA,NPC2_5HT,NPC2_NA,Distance_NPC2_to_Mean,Divergence_2_9,Divergence_2_6
95,0.528,0.5043636363636363,0.46409090909090905,0.416,0.5,0.462,0.11210447459018086,0.2733294715174344,0.14589036979869516
96,0.5212727272727272,0.49945454545454526,0.48472727272727273,0.421,0.499,0.426,0.11620550334758013,0.2067510580384052,0.14094679847375044
97,0.5154545454545455,0.49436363636363634,0.49372727272727274,0.433,0.5,0.333,0.18073122823547716,0.14783098457360014,0.17336089524457357
98,0.5099090909090909,0.4872727272727273,0.504,0.443,0.5,0.271,0.24275050961296735,0.1078053801996913,0.21486041980783713
99,0.5087272727272727,0.48254545454545456,0.5091818181818182,0.452,0.5,0.23,0.28542097370621694,0.08135109095765095,0.2461747346906258
100,0.5089090909090909,0.4812727272727273,0.5043636363636363,0.459,0.5,0.202,0.30702670355233735,0.06184658438426489,0.269
101,0.513,0.47890909090909095,0.48781818181818176,0.466,0.5,0.143,0.3486450988593955,0.04125530268947252,0.39580171803568515
102,0.5116363636363637,0.4686363636363637,0.4761818181818182,0.468,0.5,0.11,0.3701039501063148,0.03853569773599537,0.5807150764359403
103,0.5138181818181818,0.46736363636363637,0.46854545454545454,0.468,0.5,0.126,0.347133729917277,0.03853569773599537,0.6262148193711164
104,0.5121818181818182,0.46709090909090906,0.45954545454545453,0.469,0.5,0.141,0.32313910982349486,0.037629775444453596,0.5822190309496933
105,0.5091818181818181,0.46209090909090916,0.45809090909090905,0.469,0.5,0.156,0.3071003012719497,0.03912799509302774,0.544009191098827
106,0.5253636363636364,0.4674545454545454,0.45300000000000007,0.481,0.5,0.15,0.3079550922504371,0.15369124893760217,0.5222623861623581
107,0.5400909090909091,0.47,0.45099999999999996,0.495,0.5,0.138,0.31765105081306527,0.26868010719068874,0.5127426254954819
108,0.5459090909090909,0.47272727272727266,0.44027272727272726,0.507,0.5,0.128,0.3158670213976311,0.3579008242516354,0.5110635968252876
109,0.5509090909090909,0.47463636363636375,0.43263636363636365,0.516,0.5,0.12,0.3156001497868063,0.4208348844855902,0.5152339274543166
110,0.5553636363636363,0.4761818181818182,0.42999999999999994,0.524,0.5,0.113,0.3194369788723189,0.4071866893698761,0.500893202189848
